trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-148.0211357369826,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-15.268228810966551,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-129.68534350386454,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-26.47067260534348,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-82.7992853695414,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-21.7586630277486,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-130.7183292568097,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-17.82300764443559,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-15.931997901250362,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-104.66178291455373,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-37.64085751855571,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-68.90013111607985,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-109.47621869367205,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-118.4013285006519,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-24.43627413473843,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-41.69853646576728,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,9.03035263909237,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-31.219519118907638,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-40.10407290506064,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-45.63015286226536,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,11,10.374948730632537,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,12,2.9358364184082166,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,9,-63.094512809974844,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 2}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,14,15.350088803971333,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-27.111847615195643,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,2,-61.797738333364904,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 2}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,22.767689481798975,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-49.93448941861702,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,3,-17.894174235659314,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,14,10.72108442877959,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
