/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('forward', 'red', 'forward', 'forward', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : -10.23
 -- None : 0.00

('right', 'red', 'left', None, 'right')
 -- forward : -4.63
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'green', 'right', 'forward', None)
 -- forward : 0.00
 -- left : 0.03
 -- right : 0.00
 -- None : 0.00

('left', 'green', 'forward', 'left', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.95
 -- None : 0.00

('forward', 'green', 'left', 'forward', None)
 -- forward : 0.00
 -- left : 0.49
 -- right : 0.00
 -- None : 0.00

('right', 'green', 'forward', 'left', None)
 -- forward : 0.39
 -- left : 0.00
 -- right : 1.32
 -- None : 0.00

('forward', 'red', None, 'left', 'left')
 -- forward : 0.00
 -- left : -4.71
 -- right : 0.00
 -- None : 0.00

('right', 'red', 'forward', None, 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'red', 'left', None, 'left')
 -- forward : -5.28
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', None, 'forward', None)
 -- forward : -19.55
 -- left : 0.00
 -- right : 1.58
 -- None : 0.00

('forward', 'red', 'forward', None, 'forward')
 -- forward : 0.00
 -- left : -20.34
 -- right : 0.00
 -- None : 0.00

('right', 'green', None, None, 'right')
 -- forward : 0.91
 -- left : -10.11
 -- right : 0.00
 -- None : -2.65

('right', 'red', 'right', 'right', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 1.00

('right', 'red', None, 'left', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', 'forward', 'left', None)
 -- forward : -19.53
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', 'left', None, None)
 -- forward : 0.00
 -- left : 0.77
 -- right : 0.00
 -- None : 0.00

('forward', 'green', 'right', None, None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.63
 -- None : 0.00

('left', 'green', 'left', 'left', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : -2.75

('left', 'green', None, None, 'right')
 -- forward : -0.08
 -- left : 0.00
 -- right : 0.00
 -- None : -3.22

('right', 'red', 'right', 'right', 'left')
 -- forward : 0.00
 -- left : -5.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', 'left', None, 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.85

('left', 'red', 'left', 'forward', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.10
 -- None : 0.00

('forward', 'green', None, 'forward', None)
 -- forward : 0.00
 -- left : 0.43
 -- right : 0.00
 -- None : 0.00

('left', 'red', None, 'forward', 'forward')
 -- forward : 0.00
 -- left : -19.96
 -- right : 0.00
 -- None : 0.00

('left', 'red', 'left', 'left', 'forward')
 -- forward : 0.00
 -- left : -4.85
 -- right : 0.00
 -- None : 0.00

('left', 'green', 'forward', None, 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.08

('left', 'red', None, None, None)
 -- forward : -5.48
 -- left : -5.26
 -- right : 1.09
 -- None : 0.00

('right', 'red', 'right', 'forward', 'left')
 -- forward : 0.00
 -- left : -19.86
 -- right : 0.00
 -- None : 0.00

('left', 'red', None, 'left', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'green', 'forward', None, None)
 -- forward : -0.16
 -- left : 0.00
 -- right : 0.75
 -- None : 0.00

('forward', 'red', None, 'right', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'green', None, 'left', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', None, None, None)
 -- forward : 0.00
 -- left : 0.47
 -- right : 1.67
 -- None : -3.97

('right', 'green', 'left', 'left', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'green', 'forward', None, None)
 -- forward : 0.07
 -- left : 0.92
 -- right : 0.45
 -- None : -2.49

('right', 'red', 'left', None, 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 1.19
 -- None : 0.00

('left', 'green', 'right', None, 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : -0.17
 -- None : 0.00

('forward', 'red', 'forward', None, None)
 -- forward : 0.00
 -- left : -20.30
 -- right : 0.00
 -- None : 1.23

('forward', 'green', None, None, 'right')
 -- forward : 0.74
 -- left : -9.69
 -- right : 0.00
 -- None : 0.00

('forward', 'red', 'forward', None, 'left')
 -- forward : 0.00
 -- left : -19.84
 -- right : -9.61
 -- None : 0.00

('right', 'green', 'forward', 'right', None)
 -- forward : 0.53
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', 'left', 'right', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', None, 'left', None)
 -- forward : -4.51
 -- left : -4.62
 -- right : 0.00
 -- None : 1.68

('left', 'red', None, 'left', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 1.09

('left', 'green', None, 'right', 'left')
 -- forward : 0.38
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'green', 'right', 'forward', 'right')
 -- forward : 0.00
 -- left : -9.69
 -- right : 0.00
 -- None : 0.00

('left', 'green', None, 'left', 'left')
 -- forward : 0.00
 -- left : 0.55
 -- right : 0.00
 -- None : 0.00

('left', 'red', 'left', 'left', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.70
 -- None : 0.00

('right', 'red', None, 'left', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 1.08

('right', 'red', 'right', None, 'left')
 -- forward : 0.00
 -- left : -5.18
 -- right : 0.00
 -- None : 0.00

('forward', 'green', None, 'forward', 'forward')
 -- forward : 0.59
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', 'left', None, None)
 -- forward : -4.76
 -- left : -7.95
 -- right : 0.00
 -- None : 1.40

('left', 'red', None, 'left', None)
 -- forward : -4.59
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'green', 'forward', 'left', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.69
 -- None : 0.00

('right', 'green', 'left', 'left', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', 'left', None, 'forward')
 -- forward : 0.00
 -- left : -5.02
 -- right : 0.00
 -- None : 1.25

('forward', 'red', None, None, 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.41
 -- None : 0.00

('forward', 'green', 'left', 'left', 'right')
 -- forward : 1.10
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', 'right', None, None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.78
 -- None : 0.00

('forward', 'red', 'left', None, 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.89
 -- None : 0.00

('right', 'green', 'forward', None, 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', 'forward', 'left', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'red', 'right', 'forward', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'green', 'left', 'right', 'left')
 -- forward : -0.19
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'green', 'left', 'left', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.75
 -- None : 0.00

('left', 'green', 'forward', 'right', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.46
 -- None : 0.00

('right', 'green', 'left', 'forward', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : -2.50

('left', 'red', None, 'left', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.14
 -- None : 1.23

('left', 'green', None, None, None)
 -- forward : 0.11
 -- left : 1.42
 -- right : 0.42
 -- None : -4.09

('right', 'red', 'forward', 'left', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', 'forward', 'left', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : -9.55
 -- None : 0.00

('forward', 'green', 'forward', None, 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.21

('forward', 'green', 'right', 'right', None)
 -- forward : 0.95
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'green', 'right', 'left', 'right')
 -- forward : 0.00
 -- left : -10.12
 -- right : 0.00
 -- None : 0.00

('left', 'red', None, 'right', 'left')
 -- forward : -5.22
 -- left : 0.00
 -- right : 0.00
 -- None : 0.39

('forward', 'green', 'left', None, 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'red', None, None, 'left')
 -- forward : -4.82
 -- left : -9.89
 -- right : 0.68
 -- None : 1.62

('right', 'red', None, 'forward', 'right')
 -- forward : 0.00
 -- left : -20.20
 -- right : 1.29
 -- None : 0.00

('right', 'green', 'forward', None, 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 1.07
 -- None : 0.00

('right', 'green', None, 'forward', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.72

('right', 'red', None, 'right', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.68
 -- None : 0.00

('right', 'green', None, None, 'forward')
 -- forward : 0.62
 -- left : -10.28
 -- right : 0.73
 -- None : 0.00

('forward', 'red', 'forward', None, 'right')
 -- forward : 0.00
 -- left : -20.28
 -- right : -9.86
 -- None : 0.00

('left', 'red', None, 'right', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.18

('left', 'red', 'right', 'forward', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', None, None, 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.21
 -- None : 0.00

('right', 'red', 'left', 'left', None)
 -- forward : -4.82
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'green', 'forward', 'left', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'red', None, 'forward', 'right')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('left', 'green', 'left', 'forward', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.79
 -- None : 0.00

('left', 'green', 'left', 'forward', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'green', None, None, None)
 -- forward : 1.29
 -- left : 0.40
 -- right : 0.43
 -- None : -2.09

('forward', 'green', 'forward', 'left', None)
 -- forward : 1.38
 -- left : 0.44
 -- right : 0.00
 -- None : -2.71

('left', 'green', None, None, 'forward')
 -- forward : 0.27
 -- left : -10.15
 -- right : 0.05
 -- None : 0.00

('left', 'red', 'right', 'left', 'left')
 -- forward : 0.00
 -- left : -4.99
 -- right : 0.00
 -- None : 0.00

('forward', 'green', None, 'left', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.89
 -- None : 0.00

('left', 'red', 'left', None, None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.47
 -- None : 0.00

('right', 'red', None, 'left', 'forward')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.38
 -- None : 1.59

('forward', 'green', 'right', None, 'forward')
 -- forward : 0.00
 -- left : -10.29
 -- right : 0.00
 -- None : 0.00

('right', 'red', None, 'forward', 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('right', 'red', 'left', None, None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.65
 -- None : 1.36

('right', 'green', 'right', None, None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 1.29
 -- None : 0.00

('left', 'red', 'left', None, 'forward')
 -- forward : -5.40
 -- left : 0.00
 -- right : 0.84
 -- None : 0.00

('right', 'red', 'forward', None, None)
 -- forward : -20.47
 -- left : 0.00
 -- right : 0.00
 -- None : 0.14

('forward', 'red', 'left', 'right', None)
 -- forward : -4.70
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', None, 'right', 'forward')
 -- forward : -4.69
 -- left : -5.35
 -- right : -0.12
 -- None : 0.00

('left', 'red', 'right', None, 'left')
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.53

('forward', 'red', 'left', 'left', None)
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : 0.60

('right', 'red', 'right', 'forward', None)
 -- forward : -19.80
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

('forward', 'red', 'left', 'forward', None)
