trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999999155000119}",25,0,-82.80598744496723,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.999996620001904}",20,0,-36.1139553056137,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9999923950096393}",20,0,-75.56671251829076,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9999864800304651}",20,0,-128.40510182961384,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999788750743775}",20,0,-41.41066952438808,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9999695801542291}",20,0,-115.02673314164151,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9999585952857282}",20,0,-120.39045068251684,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9999459204874394}",25,0,-141.55064164251448,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999315557807827}",20,0,-253.19895565105193,"{0: 8, 1: 3, 2: 3, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.9999155011900349}",20,0,-132.0499320180951,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9998977567423282}",25,0,-173.52776406589456,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9998783224676504}",25,0,-52.64190857756319,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9998571983988457}",30,0,-74.49578094866601,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9998343845716136}",20,0,-113.66908575749879,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9998098810245096}",25,0,-166.781062789619,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9997836877989446}",20,0,-96.51031133952675,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9997558049391851}",20,0,-92.4736408380362,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9997262324923534}",30,0,-171.56753408317212,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9996949705084266}",20,0,-64.41143260593734,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9996620190402377}",30,0,-206.6198365978214,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.9996273781434744}",35,0,-105.03698167892385,"{0: 25, 1: 6, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.99959104787668}",20,12,-16.683475579352688,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.9995530283012526}",25,0,-134.13193806676054,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9995133194814453}",25,0,-89.27910498879092,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9994719214843659}",25,0,-173.2938886181962,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9994288343799772}",20,0,-119.76836887618428,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9993840582410962}",20,13,-0.17862679867888964,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.9993375931433945}",20,0,-117.41971356225417,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9992894391653985}",20,0,-163.4167783711834,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.999239596388488}",30,0,-119.41000202380943,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9991880648968975}",20,0,-136.6425714353325,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9991348447777151}",20,0,-125.44060151373068,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9990799361208828}",20,0,-88.39289641594299,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9990233390191963}",25,0,-196.84634830469824,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
