trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999994518955501}",30,0,-193.43680998229084,"{0: 16, 1: 4, 2: 5, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999978075828011}",20,16,6.238176102257667,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9999950670635557}",25,0,-37.55421084450141,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9999912303408178}",25,0,-128.34622487141706,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9999862974187935}",20,0,-69.87992299025827,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9999802683028903}",20,5,-91.52325201513386,"{0: 6, 1: 4, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9999731429997173}",25,0,-81.4832704126097,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9999649215170853}",25,0,-81.22812522615007,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9999556038640067}",30,0,-81.77796596470256,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9999451900506957}",30,0,-128.2474138591696,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9999336800885681}",25,6,-53.068786969527565,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.999921073990241}",25,0,-142.4908163924526,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9999073717695335}",25,0,-145.08785390314978,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.999892573441466}",35,0,-187.68770852807887,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9998766790222606}",20,0,-159.54190350568558,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9998596885293409}",30,0,-224.73156020312385,"{0: 14, 1: 4, 2: 8, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.999841601981332}",20,0,-90.6966373875363,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9998224193980606}",20,0,-158.0033645278318,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9998021408005547}",30,0,-88.03079883310237,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9997807662110441}",35,13,-47.932908316223376,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.9997582956529595}",30,0,-187.10004107437567,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.9997347291509336}",30,0,-256.7285153436029,"{0: 15, 1: 3, 2: 6, 3: 2, 4: 4}",0
23,False,"{'a': 0.5, 'e': 0.9997100667308001}",25,0,-137.90237342598581,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9996843084195941}",30,0,-95.55105442370856,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9996574542455522}",30,0,-178.9172075023624,"{0: 17, 1: 5, 2: 3, 3: 3, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9996295042381121}",20,0,-81.51317285946195,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.999600458427913}",25,8,-19.47683656352177,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.999570316846795}",30,0,-170.6339059682294,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.9995390795277996}",25,0,-80.45511295161204,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9995067465051696}",20,0,-96.25284594485483,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.9994733178143484}",30,0,-207.8883765216519,"{0: 15, 1: 2, 2: 9, 3: 2, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9994387934919813}",25,0,-140.96367115149963,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9994031735759137}",20,0,-130.06780732195963,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9993664581051928}",20,0,-50.18889473770057,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9993286471200662}",30,0,-117.8139400701306,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9992897406619827}",25,0,-138.08513728943927,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9992497387735921}",25,0,-84.24357700864552,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9992086414987446}",25,0,-206.07558158886022,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.9991664488824915}",30,0,-99.66031883902633,"{0: 17, 1: 8, 2: 4, 3: 0, 4: 1}",0
