trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.18383880166883,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.660780460476644,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-190.25846189633268,"{0: 22, 1: 1, 2: 9, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.41856590543468,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,1,-0.958930351231966,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.2979512244657,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,6,-28.967344044570684,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.661129782930445,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.10735915837644,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.05487222176592,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.94659805218492,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,13,-39.9987597763421,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.20314741499482,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.26712383667646,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.59394806418776,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-210.24924542037925,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.03688507113839,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.33351919610408,"{0: 16, 1: 5, 2: 1, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.99550202776572,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.7302347400306,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-1.0280191202310687,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.42848268967379,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-173.50977489270653,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-81.4555358379831,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.0808685986812,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.81644803174913,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.12057904744567,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-42.10219378707893,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-144.92740691313224,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.13685497667782,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
